學年度,縣市名稱,鄉鎮市區,學生等級,學校代碼,學校名稱,公/私立,地區屬性,地址,電話,網址,班級數,男學生數,女學生數,原住民學生比率,上學年男畢業生數,上學年女畢業生數
111,[01]新北市,石碇區,國小,014679,市立永定國小,公立,偏遠,[223]新北市石碇區永定里靜安路一段245號,(02)26631288,http://www.tydes.ntpc.edu.tw,6,18,18,2.78,1,4
111,[01]新北市,石碇區,國小,014680,市立雲海國小,公立,偏遠,[223]新北市石碇區北宜路五段坑內巷1號,(02)26651715,http://www.whies.ntpc.edu.tw,6,47,41,1.14,1,5
111,[01]新北市,坪林區,國小,014682,市立坪林國小,公立,偏遠,[232]新北市坪林區坪林里坪林街114號,(02)26656213,http://www.plnes.ntpc.edu.tw,6,56,60,0,7,8
111,[01]新北市,烏來區,國小,014684,市立烏來國(中)小,公立,特偏,[233]新北市烏來區啦卡路5號,(02)26616482,http://www.wups.ntpc.edu.tw,6,37,43,95,5,7
111,[01]新北市,烏來區,國小,014685,市立德拉楠民族實驗小學,公立,極偏,[233]新北市烏來區福山里李茂岸56號,(02)26616124,http://www.fses.ntpc.edu.tw,6,15,9,79.17,2,2
111,[01]新北市,瑞芳區,國小,014687,市立義方國小,公立,偏遠,[224]新北市瑞芳區龍山里逢甲路360號,(02)24970961,https://web.jfps.ntpc.edu.tw/,6,39,46,2.35,3,3
111,[01]新北市,瑞芳區,國小,014688,市立瑞柑國小,公立,偏遠,[224]新北市瑞芳區明燈路一段18巷13號,(02)24971009,http://www.rges.ntpc.edu.tw,6,32,40,1.39,6,10
111,[01]新北市,瑞芳區,國小,014689,市立瑞濱國小,公立,偏遠,[224]新北市瑞芳區瑞濱路34號,(02)24978184,http://www.jpes.ntpc.edu.tw,6,49,46,27.37,7,8
111,[01]新北市,瑞芳區,國小,014690,市立九份國小,公立,偏遠,[224]新北市瑞芳區永慶里崙頂路145號,(02)24972263,http://www.jfes.ntpc.edu.tw,6,13,13,0,2,4
111,[01]新北市,瑞芳區,國小,014691,市立瓜山國小,公立,偏遠,[224]新北市瑞芳區石山里五號路306號,(02)24962036,http://www.gsps.ntpc.edu.tw,6,10,11,14.29,1,0
111,[01]新北市,瑞芳區,國小,014692,市立濂洞國小,公立,偏遠,[224]新北市瑞芳區濓洞里洞頂路101巷80號,(02)24961330,https://www.ldes.ntpc.edu.tw/,6,8,4,16.67,3,0
111,[01]新北市,瑞芳區,國小,014693,市立猴硐-蒙特梭利實小,公立,偏遠,[224]新北市瑞芳區弓橋里九芎橋路69-1號,(02)24960450,http://www.htes.ntpc.edu.tw,6,14,18,3.13,2,5
111,[01]新北市,瑞芳區,國小,014694,市立瑞亭國小,公立,偏遠,[224]新北市瑞芳區四腳亭埔路23號,(02)24971726,http://www.rtes.ntpc.edu.tw,6,27,32,1.69,4,5
111,[01]新北市,瑞芳區,國小,014696,市立鼻頭國小,公立,偏遠,[224]新北市瑞芳區鼻頭里鼻頭路99號,(02)24911571,http://www.pitoues.ntpc.edu.tw,6,9,6,0,1,0
111,[01]新北市,雙溪區,國小,014697,市立雙溪國小,公立,偏遠,[227]新北市雙溪區共和里東榮街54號,(02)24931005,http://www.sses.ntpc.edu.tw,7,56,50,1.89,5,7
111,[01]新北市,雙溪區,國小,014698,市立柑林國小,公立,特偏,[227]新北市雙溪區長源里柑腳3號,(02)24931624,http://www.gles.ntpc.edu.tw,5,6,6,16.67,0,3
111,[01]新北市,雙溪區,國小,014699,市立上林國小,公立,偏遠,[227]新北市雙溪區上林里內平林60號,(02)24931671,http://www.ulps.ntpc.edu.tw,6,21,8,3.45,1,2
111,[01]新北市,雙溪區,國小,014700,市立牡丹國小,公立,偏遠,[227]新北市雙溪區三貂里政光路3號,(02)24931240,http://www.mdps.ntpc.edu.tw,6,10,7,0,0,2
111,[01]新北市,貢寮區,國小,014702,市立貢寮國小,公立,偏遠,[228]新北市貢寮區雙玉里學苑街7號,(02)24941274,http://www.kles.ntpc.edu.tw,6,14,13,7.41,1,5
111,[01]新北市,貢寮區,國小,014703,市立福隆國小,公立,偏遠,[228]新北市貢寮區福隆里東興街35號,(02)24991449,http://www.flps.ntpc.edu.tw,6,20,9,3.45,1,2
111,[01]新北市,貢寮區,國小,014704,市立澳底國小,公立,偏遠,[228]新北市貢寮區真理里延平街10號,(02)24901432,http://www.aodi.ntpc.edu.tw/,6,50,49,3.03,11,8
111,[01]新北市,貢寮區,國小,014706,市立和美國小,公立,偏遠,[228]新北市貢寮區和美里龍洞街1之9號,(02)24909431,http://www.hmps.ntpc.edu.tw,3,6,5,0,1,2
111,[01]新北市,貢寮區,國小,014708,市立福連國小,公立,偏遠,[228]新北市貢寮區福連里福連街1號,(02)24991194,http://www.fulps.ntpc.edu.tw,4,5,2,14.29,1,0
111,[01]新北市,平溪區,國小,014709,市立平溪國小,公立,偏遠,[226]新北市平溪區平溪街56號,(02)24951038,http://www.pses.ntpc.edu.tw,6,10,11,0,3,1
111,[01]新北市,平溪區,國小,014710,市立菁桐國小,公立,偏遠,[226]新北市平溪區菁桐街45號,(02)24951009,http://www.tgtes.ntpc.edu.tw/,6,14,20,0,1,0
111,[01]新北市,平溪區,國小,014711,市立十分國小,公立,偏遠,[226]新北市平溪區十分里十分街157號,(02)24958305,http://www.tsfes.ntpc.edu.tw,5,15,6,0,2,1
111,[01]新北市,石門區,國小,014723,市立石門國小,公立,偏遠,[253]新北市石門區尖鹿里中央路9號,(02)26381263,http://www.smes.ntpc.edu.tw,6,32,25,1.75,2,9
111,[01]新北市,石門區,國小,014724,市立乾華國小,公立,特偏,[253]新北市石門區茂林里茂林社區74號,(02)26381269,https://web.cwes.ntpc.edu.tw/,6,18,16,5.88,2,1
111,[01]新北市,石門區,國小,014725,市立老梅國小,公立,偏遠,[253]新北市石門區老梅里老梅路10號,(02)26381258,http://www.lmes.ntpc.edu.tw,6,44,25,0,3,4
111,[01]新北市,林口區,國小,014751,市立嘉寶國小,公立,偏遠,[244]新北市林口區嘉寶里22號,(02)26052716,http://www.jbes.ntpc.edu.tw,6,89,56,2.07,10,5
111,[01]新北市,林口區,國小,014753,市立興福國小,公立,偏遠,[244]新北市林口區下福里20鄰10-1號,(02)26062895,http://www.hfps.ntpc.edu.tw,6,71,50,2.48,7,9
111,[01]新北市,金山區,國小,014780,市立金美國小,公立,偏遠,[208]新北市金山區忠孝一路111號,(02)24986503,http://www.gmes.ntpc.edu.tw,8,60,61,0.83,14,11
111,[03]桃園市,大園區,國小,034632,市立沙崙國小,公立,偏遠,[337]桃園市大園區沙崙里九鄰75號之2,(03)3835072,http://www.sales.tyc.edu.tw,6,14,9,13.04,2,3
111,[03]桃園市,龜山區,國小,034643,市立龍壽國小,公立,偏遠,[333]桃園市龜山區龍壽里龍校街30號,(03)3296554,http://www.lnses.tyc.edu.tw,7,50,49,12.12,9,12
111,[03]桃園市,大溪區,國小,034658,市立百吉國小,公立,偏遠,[335]桃園市大溪區環湖路二段845號,(03)3883956,http://www.pces.tyc.edu.tw,6,58,64,36.89,3,3
111,[03]桃園市,新屋區,國小,034702,市立啟文國小,公立,偏遠,[327]桃園市新屋區清華里新文路762號,(03)4772077,http://www.kves.tyc.edu.tw,6,24,23,2.13,7,5
111,[03]桃園市,新屋區,國小,034706,市立笨港國小,公立,偏遠,[327]桃園市新屋區笨港里2鄰文學路22號,(03)4769113,http://www.bges.tyc.edu.tw,6,19,17,8.33,6,4
111,[03]桃園市,新屋區,國小,034707,市立北湖國小,公立,偏遠,[327]桃園市新屋區石牌里東興路780號,(03)4862415,http://www.phps.tyc.edu.tw,6,19,23,11.9,5,2
111,[03]桃園市,新屋區,國小,034709,市立蚵間國小,公立,偏遠,[327]桃園市新屋區後庄村三鄰文化路一段636號,(03)4768413,http://www.kces.tyc.edu.tw,6,44,35,1.27,4,3
111,[03]桃園市,新屋區,國小,034710,市立社子國小,公立,偏遠,[327]桃園市新屋區社子里社福路235號,(03)4772444,http://www.szes.tyc.edu.tw,6,32,21,0,4,2
111,[03]桃園市,觀音區,國小,034713,市立大潭國小,公立,偏遠,[328]桃園市觀音區大潭里濱海路大潭段687號,(03)4732087,http://www.tates.tyc.edu.tw,6,36,34,14.29,4,3
111,[03]桃園市,觀音區,國小,034714,市立保生國小,公立,偏遠,[328]桃園市觀音區仁愛路二段521號,(03)4732054,http://www.bses.tyc.edu.tw,6,20,20,2.5,4,4
111,[03]桃園市,觀音區,國小,034718,市立育仁國小,公立,偏遠,[328]桃園市觀音區坑尾里四鄰育仁路二段1號,(03)4732720,http://www.yres.tyc.edu.tw,6,21,22,9.3,6,10
111,[03]桃園市,觀音區,國小,034721,市立樹林國小,公立,偏遠,[328]桃園市觀音區新村路二段12號,(03)4830414,https://www.sles.tyc.edu.tw/,7,55,61,25.86,6,5
111,[03]桃園市,龍潭區,國小,034728,市立三和國小,公立,偏遠,[325]桃園市龍潭區龍新路三和段1356號,(03)4792154,http://www.shes.tyc.edu.tw/index.php,6,26,24,8,5,4
111,[03]桃園市,復興區,國小,034730,市立介壽國小,公立,偏遠,[336]桃園市復興區澤仁里中正路33號,(03)3822364,http://www.jses.tyc.edu.tw,6,29,38,83.58,10,6
111,[03]桃園市,復興區,國小,034731,市立三民國小,公立,偏遠,[336]桃園市復興區三民里十一鄰57號,(03)3825294,http://www.sames.tyc.edu.tw,6,36,24,56.67,4,4
111,[03]桃園市,復興區,國小,034732,市立義盛國小,公立,特偏,[336]桃園市復興區宇內路130號,(03)3822787,https://www.ysps.tyc.edu.tw,6,17,16,96.97,5,6
111,[03]桃園市,復興區,國小,034733,市立霞雲國小,公立,特偏,[336]桃園市復興區流霞路151號,(03)3822224,https://www.hyps.tyc.edu.tw,6,15,16,96.77,1,3
111,[03]桃園市,復興區,國小,034734,市立奎輝國小,公立,特偏,[336]桃園市復興區羅馬路三段356號,(03)3822177,https://sites.google.com/ms.tyc.edu.tw/kuihui/,6,33,25,94.83,4,4
111,[03]桃園市,復興區,國小,034735,市立光華國小,公立,特偏,[336]桃園市復興區華陵里四鄰12號,(03)3912325,http://www.khes.tyc.edu.tw,6,9,7,93.75,1,2
111,[03]桃園市,復興區,國小,034736,市立高義國小,公立,特偏,[336]桃園市復興區高義里三鄰28號,(03)3912251,http://www.gyes.tyc.edu.tw,6,15,15,100,2,1
111,[03]桃園市,復興區,國小,034737,市立長興國小,公立,特偏,[336]桃園市復興區羅馬路四段207號,(03)3822178,http://www.cses.tyc.edu.tw/,6,16,18,100,4,0
111,[03]桃園市,復興區,國小,034738,市立三光國小,公立,特偏,[336]桃園市復興區三光里四鄰8號,(03)3912230,http://www.skes.tyc.edu.tw,6,16,14,100,3,5
111,[03]桃園市,復興區,國小,034740,市立羅浮國小,公立,偏遠,[336]桃園市復興區羅浮里三鄰16號,(03)3822269,https://www.lfes.tyc.edu.tw/,7,25,30,90.91,6,7
111,[03]桃園市,復興區,國小,034741,市立巴崚國小,公立,特偏,[336]桃園市復興區華陵里九鄰75號,(03)3912131,http://www.bles.tyc.edu.tw/,6,14,21,97.14,5,6
111,[06]臺中市,后里區,國小,064614,市立后里區泰安國小,公立,偏遠,[421]臺中市后里區泰安里安眉路5號,(04)25562364,http://www.taps.tc.edu.tw,6,57,55,1.79,12,7
111,[06]臺中市,外埔區,國小,064631,市立安定國小,公立,偏遠,[438]臺中市外埔區土城里土城西路55號,(04)26831446,http://tw.school.uschoolnet.com/?id=es00001337,6,44,32,2.63,11,4
111,[06]臺中市,外埔區,國小,064632,市立鐵山國小,公立,偏遠,[438]臺中市外埔區鐵山里長生路576號,(04)26835033,http://www.tsps.tc.edu.tw,6,30,30,1.67,5,7
111,[06]臺中市,外埔區,國小,064633,市立馬鳴國小,公立,偏遠,[438]臺中市外埔區中山里東西巷13號,(04)26834114,http://www.mmps.tc.edu.tw,6,30,29,0,9,6
111,[06]臺中市,外埔區,國小,064634,市立水美國小,公立,偏遠,[438]臺中市外埔區水美里二崁路390巷63號,(04)26876508,http://www.smes.tc.edu.tw,6,38,27,1.54,6,5
111,[06]臺中市,東勢區,國小,064637,市立石城國小,公立,偏遠,[423]臺中市東勢區茂興里石城街182巷26號,(04)25873152,http://www.sches.tc.edu.tw,8,44,38,6.1,3,4
111,[06]臺中市,東勢區,國小,064638,市立東勢區成功國小,公立,偏遠,[423]臺中市東勢區慶東里東關路五段600號,(04)25852040,http://tw.school.uschoolnet.com/?id=es00001251,6,40,38,3.85,7,7
111,[06]臺中市,東勢區,國小,064639,市立石角國小,公立,偏遠,[423]臺中市東勢區東坑路西盛巷22號,(04)25873011,http://www.sjps.tc.edu.tw,6,14,21,14.29,3,4
111,[06]臺中市,東勢區,國小,064640,市立中科國小,公立,偏遠,[423]臺中市東勢區東崎路4段92巷16號,(04)25872534,http://www.ckees.tc.edu.tw,6,26,21,4.26,1,2
111,[06]臺中市,東勢區,國小,064641,市立新成國小,公立,偏遠,[423]臺中市東勢區上城街260號,(04)25853447,http://tw.school.uschoolnet.com/?id=es00001246,6,43,36,3.8,6,2
111,[06]臺中市,東勢區,國小,064642,市立明正國小,公立,偏遠,[423]臺中市東勢區明正里東蘭路永盛巷57-1號,(04)25874455,http://tw.school.uschoolnet.com/?id=es00001243,6,19,7,0,2,6
111,[06]臺中市,新社區,國小,064646,市立新社區東興國小,公立,偏遠,[426]臺中市新社區東興里興社街一段國校巷13號,(04)25811467,http://www.dxps.tc.edu.tw,6,22,18,2.5,0,0
111,[06]臺中市,新社區,國小,064648,市立協成國小,公立,偏遠,[426]臺中市新社區協成里興義街219號,(04)25813437,https://scps.tc.edu.tw/,6,28,28,3.57,1,6
111,[06]臺中市,新社區,國小,064649,市立大林國小,公立,偏遠,[426]臺中市新社區福興里美林38號,(04)25941995,http://www.dles.tc.edu.tw,6,9,7,0,4,0
111,[06]臺中市,新社區,國小,064650,市立崑山國小,公立,偏遠,[426]臺中市新社區崑山里崑南街崑崙巷5-2號,(04)25812496,https://ksps.tc.edu.tw/,6,23,27,0,1,1
111,[06]臺中市,新社區,國小,064651,市立中和國小,公立,偏遠,[426]臺中市新社區中和里中興街129號,(04)25931001,http://www.ches.tc.edu.tw,6,14,16,3.33,1,2
111,[06]臺中市,清水區,國小,064659,市立大楊國小,公立,偏遠,[436]臺中市清水區楊厝里鱉海路325號,(04)26200634,https://dayes.tc.edu.tw/,6,62,55,0,11,12
111,[06]臺中市,清水區,國小,064660,市立東山國小,公立,偏遠,[436]臺中市清水區東山里神清路6之1號,(04)26200517,https://dsps.tc.edu.tw/,6,19,29,12.5,10,4
111,[06]臺中市,大甲區,國小,064666,市立德化國小,公立,偏遠,[437]臺中市大甲區和平路290號,(04)26874602,http://www.dwps.tc.edu.tw,10,108,77,0.54,15,10
111,[06]臺中市,大甲區,國小,064669,市立文武國小,公立,偏遠,[437]臺中市大甲區武陵里文曲路61號,(04)26710928,http://www.wwps.tc.edu.tw,6,40,28,4.41,5,7
111,[06]臺中市,大甲區,國小,064671,市立東明國小,公立,偏遠,[437]臺中市大甲區幸福里東明路93號,(04)26814404,http://www.dmes.tc.edu.tw,6,25,31,0,7,4
111,[06]臺中市,大甲區,國小,064673,市立西岐國小,公立,偏遠,[437]臺中市大甲區西岐里順帆路96號,(04)26811747,http://www.hcps.tc.edu.tw,12,113,93,2.91,15,11
111,[06]臺中市,大安區,國小,064683,市立三光國小,公立,偏遠,[439]臺中市大安區龜殼里3鄰中松路297號,(04)26710148,http://www.skps.tc.edu.tw,6,20,24,0,5,7
111,[06]臺中市,大安區,國小,064684,市立海墘國小,公立,偏遠,[439]臺中市大安區海墘里大安港路1100號,(04)26876085,http://www.hices.tc.edu.tw,6,55,47,0,12,7
111,[06]臺中市,大安區,國小,064685,市立大安區永安國小,公立,偏遠,[439]臺中市大安區永安里東西四路二段252號,(04)26874931,https://yaps.tc.edu.tw/,6,60,44,1.92,8,12
111,[06]臺中市,烏日區,國小,064697,市立溪尾國小,公立,偏遠,[414]臺中市烏日區溪尾里溪岸路26號,(049)2523020,https://cwps.tc.edu.tw/,6,33,19,0,3,3
111,[06]臺中市,霧峰區,國小,064717,市立峰谷國小,公立,偏遠,[413]臺中市霧峰區峰谷里峰谷路496號,(04)23399271,http://www.fgps.tc.edu.tw,6,36,32,1.47,8,6
111,[06]臺中市,霧峰區,國小,064718,市立桐林國小,公立,偏遠,[413]臺中市霧峰區民生路675號,(04)23304311,http://www.tles.tc.edu.tw,6,45,35,0,6,10
111,[06]臺中市,霧峰區,國小,064720,市立霧峰區光正國小,公立,偏遠,[413]臺中市霧峰區豐正路566號,(04)23398687,http://www.kces.tc.edu.tw,6,83,72,2.58,9,8
111,[06]臺中市,太平區,國小,064726,市立黃竹國小,公立,偏遠,[411]臺中市太平區黃竹里竹村路41號,(04)22715933,http://www.hjes.tc.edu.tw,6,21,16,0,1,2
111,[06]臺中市,太平區,國小,064728,市立東汴國小,公立,偏遠,[411]臺中市太平區東汴里山田路100號,(04)22702664,http://www.dbes.tc.edu.tw,6,32,28,0,10,4
111,[06]臺中市,和平區,國小,064729,市立和平區和平國小,公立,特偏,[424]臺中市和平區南勢里東關路三段54號,(04)25941304,http://www.hpps.tc.edu.tw,6,21,23,43.18,4,3
111,[06]臺中市,新社區,國小,064730,市立福民國小,公立,特偏,[426]臺中市新社區福興里福民16-7號,(04)25941147,https://fmes.tc.edu.tw/,6,18,6,4.17,0,5
111,[06]臺中市,和平區,國小,064731,市立白冷國小,公立,極偏,[424]臺中市和平區天輪里東關路二路天輪巷42號,(04)25941184,http://www.plps.tc.edu.tw,6,11,5,56.25,1,2
111,[06]臺中市,和平區,國小,064732,市立博屋瑪國小,公立,極偏,[424]臺中市和平區達觀里育英巷6號,(04)25911487,http://www.tges.tc.edu.tw/,6,30,27,89.47,6,10
111,[06]臺中市,和平區,國小,064733,市立中坑國小,公立,極偏,[424]臺中市和平區中坑里中坑巷41號,(04)25874992,http://tw.school.uschoolnet.com/?id=es00001253,6,27,16,4.65,3,1
111,[06]臺中市,和平區,國小,064734,市立平等國小,公立,極偏,[424]臺中市和平區中興路三段環山3巷35號,(04)25802204,http://www.pdes.tc.edu.tw,6,22,20,69.05,4,1
111,[06]臺中市,和平區,國小,064735,市立德芙蘭國小,公立,極偏,[424]臺中市和平區博愛里東關路一段松鶴三巷10號,(04)25943446,http://www.baes.tc.edu.tw,6,15,17,65.63,2,1
111,[06]臺中市,和平區,國小,064736,市立自由國小,公立,極偏,[424]臺中市和平區自由里東崎路二段49號,(04)25911342,http://www.yyps.tc.edu.tw,6,11,11,100,2,2
111,[06]臺中市,和平區,國小,064737,市立梨山國(中)小,公立,極偏,[424]臺中市和平區梨山里福壽路10號,(04)25981510,http://www.lses.tc.edu.tw,6,53,48,37.62,7,7
111,[06]臺中市,清水區,國小,064754,市立吳厝國小,公立,偏遠,[436]臺中市清水區吳厝里吳厝路35號,(04)26200864,http://www.wtes.tc.edu.tw,6,30,31,6.56,6,10
111,[11]臺南市,仁德區,國小,114604,市立依仁國小,公立,偏遠,[717]臺南市仁德區中洲里依仁二街100號,(06)2662108,http://www.yres.tn.edu.tw,6,32,43,2.67,6,4
111,[11]臺南市,仁德區,國小,114608,市立虎山實驗小學,公立,偏遠,[717]臺南市仁德區成功里虎山一街100號,(06)2682588,https://www.hsps.tn.edu.tw,7,70,64,2.99,13,6
111,[11]臺南市,關廟區,國小,114615,市立保東國小,公立,偏遠,[718]臺南市關廟區埤頭里關新路一段776號,(06)5952344,http://www.bdes.tn.edu.tw,6,27,42,0,5,5
111,[11]臺南市,關廟區,國小,114616,市立崇和國小,公立,偏遠,[718]臺南市關廟區龜洞里南雄南路568號,(06)5551040,http://www.chees.tn.edu.tw,6,20,14,0,3,1
111,[11]臺南市,關廟區,國小,114617,市立文和實驗小學,公立,偏遠,[718]臺南市關廟區布袋里長文街37號,(06)5551937,http://www.whps.tn.edu.tw,6,34,31,1.54,2,2
111,[11]臺南市,關廟區,國小,114618,市立深坑國小,公立,偏遠,[718]臺南市關廟區南雄路一段487號,(06)5952409,http://www.skps.tn.edu.tw,6,34,24,1.72,5,8
111,[11]臺南市,關廟區,國小,114619,市立新光國小,公立,偏遠,[718]臺南市關廟區新光街76號,(06)5952419,https://schoolweb2.tn.edu.tw/~sigps_www/index.php,6,13,11,4.17,1,2
111,[11]臺南市,龍崎區,國小,114620,市立龍崎國小,公立,偏遠,[719]臺南市龍崎區崎頂里新市子41號,(06)5941204,http://www.lces.tn.edu.tw,6,11,21,0,7,6
111,[11]臺南市,新化區,國小,114632,市立口埤實驗小學,公立,偏遠,[712]臺南市新化區知義里口埤88號,(06)5901445,http://www.kbes.tn.edu.tw,6,59,44,4.85,10,10
111,[11]臺南市,山上區,國小,114635,市立山上國小,公立,偏遠,[743]臺南市山上區南洲里42號,(06)5781203,http://www.sases.tn.edu.tw,9,87,88,4,12,12
111,[11]臺南市,玉井區,國小,114637,市立層林國小,公立,偏遠,[714]臺南市玉井區層林里115號,(06)5743574,http://www.tles.tn.edu.tw/,6,35,18,1.89,1,4
111,[11]臺南市,楠西區,國小,114638,市立楠西國小,公立,偏遠,[715]臺南市楠西區楠西里四維路69號,(06)5751062,http://www.nsps.tn.edu.tw/,12,125,101,1.77,20,16
111,[11]臺南市,南化區,國小,114639,市立南化國小,公立,偏遠,[716]臺南市南化區南化里17號,(06)5771118,http://www.nhes.tn.edu.tw,6,37,33,5.71,9,12
111,[11]臺南市,南化區,國小,114640,市立北寮國小,公立,特偏,[716]臺南市南化區北寮里110之27號,(06)5772215,http://www.bles.tn.edu.tw,6,21,20,2.44,2,3
111,[11]臺南市,南化區,國小,114641,市立西埔國小,公立,特偏,[716]臺南市南化區西埔里117號,(06)5771240,http://www.spes.tn.edu.tw,6,10,11,4.76,5,2
111,[11]臺南市,南化區,國小,114642,市立玉山國小,公立,特偏,[716]臺南市南化區玉山里48之1號,(06)5772072,http://www.ysps.tn.edu.tw,6,10,9,5.26,1,2
111,[11]臺南市,南化區,國小,114643,市立瑞峰國小,公立,極偏,[716]臺南市南化區關山里96號,(06)5770093,http://www.rfes.tn.edu.tw,5,7,5,0,2,0
111,[11]臺南市,左鎮區,國小,114644,市立左鎮國小,公立,偏遠,[713]臺南市左鎮區中正里7號,(06)5731019,https://www.tjes.tn.edu.tw/,6,26,16,0,6,5
111,[11]臺南市,左鎮區,國小,114646,市立光榮實驗小學,公立,偏遠,[713]臺南市左鎮區榮和里61之1號,(06)5731658,http://www.gres.tn.edu.tw,6,28,23,1.96,2,7
111,[11]臺南市,麻豆區,國小,114661,市立文正國小,公立,偏遠,[721]臺南市麻豆區南勢里86號,(06)5722168,http://www.wjps.tn.edu.tw,6,37,42,5.06,2,5
111,[11]臺南市,麻豆區,國小,114663,市立安業國小,公立,偏遠,[721]臺南市麻豆區井東里113號,(06)5722261,http://www.ayes.tn.edu.tw,7,76,53,1.55,11,6
111,[11]臺南市,麻豆區,國小,114664,市立北勢國小,公立,偏遠,[721]臺南市麻豆區北勢里15號,(06)5722844,http://www.bses.tn.edu.tw,6,42,48,0,1,5
111,[11]臺南市,麻豆區,國小,114665,市立港尾國小,公立,偏遠,[721]臺南市麻豆區港尾里五鄰麻學路二段799號,(06)5701341,http://www.gwes.tn.edu.tw,6,25,14,2.56,3,1
111,[11]臺南市,麻豆區,國小,114667,市立紀安國小,公立,偏遠,[721]臺南市麻豆區謝厝寮里231號,(06)5722306,http://www.jaes.tn.edu.tw,6,33,32,0,8,6
111,[11]臺南市,佳里區,國小,114670,市立延平國小,公立,偏遠,[722]臺南市佳里區下營里15鄰頂廍136號,(06)7222331,https://www.ypes.tn.edu.tw/,6,48,44,0,7,4
111,[11]臺南市,佳里區,國小,114671,市立塭內國小,公立,偏遠,[722]臺南市佳里區塭內里塭子內40號,(06)7891054,http://www.wnes.tn.edu.tw/,6,48,47,0,6,3
111,[11]臺南市,佳里區,國小,114672,市立子龍國小,公立,偏遠,[722]臺南市佳里區子龍里潭墘5號,(06)7262913,http://www.tlps.tn.edu.tw,7,79,75,0,3,6
111,[11]臺南市,佳里區,國小,114674,市立通興國小,公立,偏遠,[722]臺南市佳里區塭內里11鄰埔頂5-1號,(06)7873531,http://www.tses.tn.edu.tw,6,21,24,0,2,1
111,[11]臺南市,西港區,國小,114680,市立松林國小,公立,偏遠,[723]臺南市西港區檨林里39之1號,(06)7952205,http://www.soles.tn.edu.tw,6,51,69,0.83,9,9
111,[11]臺南市,七股區,國小,114681,市立七股國小,公立,偏遠,[724]臺南市七股區大埕里395號,(06)7872076,http://www.cgps.tn.edu.tw,6,63,57,1.67,9,12
111,[11]臺南市,七股區,國小,114682,市立後港國小,公立,偏遠,[724]臺南市七股區大潭里台潭1號,(06)7941305,http://www.hges.tn.edu.tw,6,26,26,0,5,1
111,[11]臺南市,七股區,國小,114683,市立竹橋國小,公立,偏遠,[724]臺南市七股區竹橋里130號,(06)7891041,http://www.jces.tn.edu.tw,6,37,29,0,3,4
111,[11]臺南市,七股區,國小,114684,市立三股國小,公立,偏遠,[724]臺南市七股區三股里100號,(06)7880744,http://www.sgps.tn.edu.tw,6,36,38,0,2,2
